BK Plasmid ID,ProCode ID,BB Plasmid #,ProCode,Project,Gene Target
P03,A2,10438,pLKO_NWS.FLAG.VSVg_NGFR,Morphology,PGGT1B
P15,A2,10438,pLKO_NWS.FLAG.VSVg_NGFR,Pilot,PGGT1B
P19,AA5,12646,pLKO_S.C.FLAG_NGFR,Pilot,MAP4K4
P20,AA5,12646,pLKO_S.C.FLAG_NGFR,Pilot,MAP4K4
P21,C5,12159,pLKO_FLAG.VSVg.C_NGFR,Pilot,MINK1
P22,C5,12159,pLKO_FLAG.VSVg.C_NGFR,Pilot,MINK1
P23,C10,12164,pLKO_NWS.VSVg.C_NGFR,Pilot,NCK1
P24,C10,12164,pLKO_NWS.VSVg.C_NGFR,Pilot,NCK1
P25,C12,12545,pLKO_HSV.Ollas.S_NGFR,Pilot,HSF1
P26,C12,12545,pLKO_HSV.Ollas.S_NGFR,Pilot,HSF1
P27,D1,12546,pLKO_HSV.Ollas.C_NGFR,Pilot,IER5
P28,D1,12546,pLKO_HSV.Ollas.C_NGFR,Pilot,IER5
P29,D3,12548,pLKO_HSV.Ollas.FLAG_NGFR,Pilot,PPP2R2B
P30,D3,12548,pLKO_HSV.Ollas.FLAG_NGFR,Pilot,PPP2R2B
P31,D4,12550,pLKO_HSV.Ollas.NWS_NGFR,Pilot,FAN1
P32,D4,12550,pLKO_HSV.Ollas.NWS_NGFR,Pilot,FAN1
P33,D7,12554,pLKO_HSV.Ollas.VSVg_NGFR,Pilot,MLH1
P34,D7,12554,pLKO_HSV.Ollas.VSVg_NGFR,Pilot,MLH1
P35,D8,12555,pLKO_HSV.S.C_NGFR,Pilot,MSH3
P36,D8,12555,pLKO_HSV.S.C_NGFR,Pilot,MSH3
P37,D10,12557,pLKO_HSV.S.FLAG_NGFR,Pilot,SNX8
P38,D10,12557,pLKO_HSV.S.FLAG_NGFR,Pilot,SNX8
P39,D11,12559,pLKO_HSV.S.NWS_NGFR,Pilot,non-target
P40,D11,12559,pLKO_HSV.S.NWS_NGFR,Pilot,non-target
P41,E2,12563,pLKO_HSV.S.VSVg_NGFR,Pilot,PPP2R1A
P42,E2,12563,pLKO_HSV.S.VSVg_NGFR,Pilot,PPP2R1A
P43,E4,12565,pLKO_HSV.C.FLAG_NGFR,Pilot,HRAS
P44,E4,12565,pLKO_HSV.C.FLAG_NGFR,Pilot,HRAS
P45,E5,12567,pLKO_HSV.C.NWS_NGFR,Pilot,SLC25A11
P46,E5,12567,pLKO_HSV.C.NWS_NGFR,Pilot,SLC25A11
P47,E8,12571,pLKO_HSV.C.VSVg_NGFR,Pilot,WASL
P48,E8,12571,pLKO_HSV.C.VSVg_NGFR,Pilot,WASL
P49,F5,12584,pLKO_HSV.FLAG.VSVg_NGFR,Pilot,ARPC3
P50,F5,12584,pLKO_HSV.FLAG.VSVg_NGFR,Pilot,ARPC3
P51,F8,12593,pLKO_HSV.NWS.VSVg_NGFR,Pilot,NCKAP1
P52,F8,12593,pLKO_HSV.NWS.VSVg_NGFR,Pilot,NCKAP1
P53,G8,12610,pLKO_Ollas.C.FLAG_NGFR,Pilot,RAPGEF2
P54,G8,12610,pLKO_Ollas.C.FLAG_NGFR,Pilot,RAPGEF2
P55,G9,12612,pLKO_Ollas.C.NWS_NGFR,Pilot,GAS7
P56,G9,12612,pLKO_Ollas.C.NWS_NGFR,Pilot,GAS7
P57,G12,12616,pLKO_Ollas.C.VSVg_NGFR,Pilot,DGKE
P58,G12,12616,pLKO_Ollas.C.VSVg_NGFR,Pilot,DGKE
P59,H6,12625,pLKO_Ollas.FLAG.NWS_NGFR,Pilot,HTT
P60,H6,12625,pLKO_Ollas.FLAG.NWS_NGFR,Pilot,HTT
